ID,gender,pastPurchases,ageGroup,jobIndustry,wealthSegment,ownsCar,tenure,state,propertyValuation,totalSpent
1020,Female,20-29,40-49,IT,Affluent Customer,No,12-15,NSW,10,1531.9
1021,Male,10-19,40-49,Retail,High Net Worth,No,04-07,NSW,8,3768.86
1022,Female,50-59,30-39,Financial Services,Affluent Customer,Yes,12-15,NSW,10,5165.09
1023,Female,10-19,18-29,Financial Services,Affluent Customer,Yes,04-07,NSW,8,492.65
1024,Female,10-19,18-29,Health,High Net Worth,Yes,00-03,VIC,9,4560.56
1025,Male,60-69,18-29,IT,Mass Customer,Yes,04-07,VIC,8,1800.12
1026,Male,60-69,18-29,Financial Services,Affluent Customer,No,04-07,NSW,10,1313.78
1027,Male,30-39,50-59,Financial Services,Affluent Customer,No,16-19,NSW,12,1449.44
1028,Male,10-19,18-29,,High Net Worth,No,00-03,NSW,9,6283.28
1029,Male,70-79,18-29,,Mass Customer,No,04-07,NSW,6,3660.06
1030,Female,0-9,50-59,Health,Mass Customer,No,04-07,VIC,7,4698.6
1031,Male,70-79,30-39,Manufacturing,Mass Customer,No,04-07,QLD,7,1320.52
1032,Female,30-39,40-49,,Mass Customer,Yes,16-19,VIC,11,3191.12
1033,Male,70-79,18-29,,Affluent Customer,Yes,00-03,QLD,9,8220.05
1034,Male,10-19,40-49,,High Net Worth,Yes,00-03,NSW,3,1033.56
1035,Female,70-79,40-49,Retail,Affluent Customer,Yes,04-07,NSW,9,485.46
1036,Female,0-9,50-59,Financial Services,Mass Customer,Yes,12-15,NSW,12,3787.0
1037,Female,90-99,60+,Financial Services,Mass Customer,No,08-11,NSW,11,2257.88
1039,Female,20-29,40-49,,High Net Worth,Yes,12-15,NSW,4,5259.0
1040,Female,70-79,40-49,Health,High Net Worth,No,08-11,QLD,8,1768.43
1041,Male,90-99,60+,Property,Affluent Customer,No,12-15,NSW,10,2292.51
1042,Male,0-9,40-49,Manufacturing,High Net Worth,Yes,08-11,NSW,11,2771.37
1043,Male,30-39,30-39,Financial Services,Mass Customer,Yes,16-19,QLD,7,4126.02
1045,Female,80-89,30-39,Financial Services,Mass Customer,Yes,16-19,NSW,11,2038.58
1046,Female,0-9,60+,,Affluent Customer,No,08-11,NSW,9,1985.1
1047,Male,30-39,40-49,Financial Services,Affluent Customer,No,08-11,NSW,7,2213.93
1048,Male,90-99,40-49,,Affluent Customer,No,12-15,VIC,9,1600.67
1049,Male,30-39,18-29,Property,Mass Customer,No,00-03,VIC,8,4486.32
1050,Female,0-9,40-49,Telecommunications,Mass Customer,Yes,12-15,NSW,11,943.44
1051,Female,30-39,40-49,Property,High Net Worth,Yes,12-15,VIC,10,1294.69
1052,Female,30-39,30-39,Financial Services,High Net Worth,No,00-03,VIC,11,3260.32
1053,Male,90-99,50-59,Manufacturing,Mass Customer,Yes,08-11,NSW,5,1566.26
1054,Male,20-29,30-39,Manufacturing,Mass Customer,Yes,12-15,NSW,11,3406.16
1055,Female,30-39,30-39,Manufacturing,Mass Customer,No,12-15,NSW,10,343.24
1056,Male,90-99,50-59,Manufacturing,Affluent Customer,No,04-07,NSW,7,3954.42
1057,Female,70-79,50-59,Health,Mass Customer,No,04-07,NSW,12,3130.44
1058,Female,30-39,30-39,Retail,Affluent Customer,Yes,04-07,VIC,6,759.57
1059,Female,60-69,50-59,Entertainment,High Net Worth,Yes,04-07,NSW,11,1618.83
1060,Female,80-89,50-59,Argiculture,Affluent Customer,Yes,12-15,NSW,11,2475.28
1061,Male,30-39,30-39,Financial Services,Mass Customer,No,16-19,NSW,12,1137.94
1062,Female,30-39,40-49,,Mass Customer,No,12-15,NSW,11,4450.85
1063,Male,20-29,30-39,Financial Services,Affluent Customer,Yes,12-15,NSW,10,3112.69
1064,Male,0-9,40-49,Entertainment,Affluent Customer,Yes,08-11,NSW,8,1398.4
1065,Male,0-9,50-59,Financial Services,Mass Customer,Yes,08-11,NSW,9,2753.32
1066,Male,40-49,18-29,Telecommunications,High Net Worth,No,12-15,VIC,10,1396.98
1067,Female,10-19,50-59,Financial Services,Mass Customer,Yes,12-15,NSW,9,741.97
1068,Male,0-9,18-29,Health,Mass Customer,Yes,00-03,NSW,8,4841.71
1069,Male,80-89,40-49,Telecommunications,Mass Customer,No,12-15,QLD,7,1982.69
1070,Male,0-9,18-29,,Mass Customer,No,00-03,QLD,4,3559.49
1071,Male,60-69,30-39,Retail,High Net Worth,No,00-03,NSW,7,3359.09
1072,Male,60-69,60+,Financial Services,High Net Worth,Yes,08-11,NSW,3,2102.32
1073,Female,70-79,40-49,,Affluent Customer,Yes,04-07,NSW,10,2723.99
1074,Male,40-49,40-49,,High Net Worth,Yes,16-19,NSW,3,4053.68
1075,Male,20-29,50-59,Manufacturing,High Net Worth,No,04-07,NSW,1,2242.12
1076,Male,30-39,18-29,Health,Affluent Customer,No,00-03,NSW,9,8104.54
1077,Female,0-9,60+,Telecommunications,Mass Customer,Yes,16-19,QLD,7,1658.45
1078,Male,60-69,40-49,Manufacturing,Mass Customer,No,20-22,NSW,9,899.97
1079,Male,70-79,40-49,Manufacturing,Mass Customer,No,16-19,NSW,9,2306.99
1080,Female,70-79,18-29,Property,Mass Customer,Yes,00-03,QLD,9,578.22
1081,Female,20-29,30-39,Health,Mass Customer,No,16-19,NSW,8,3227.89
1083,Male,40-49,18-29,,Affluent Customer,No,00-03,QLD,8,880.99
1084,Female,50-59,18-29,Retail,Affluent Customer,No,08-11,NSW,4,6522.83
1085,Male,0-9,40-49,Health,Mass Customer,No,08-11,QLD,7,1081.65
1086,Male,80-89,30-39,Property,Mass Customer,Yes,04-07,VIC,9,4705.65
1087,Female,30-39,40-49,Financial Services,Mass Customer,Yes,08-11,VIC,5,1521.57
1088,Female,10-19,30-39,,High Net Worth,Yes,00-03,VIC,9,3595.32
1089,Female,90-99,30-39,Property,Affluent Customer,No,12-15,VIC,9,2349.29
1090,Female,10-19,40-49,Telecommunications,Affluent Customer,No,16-19,NSW,11,1529.01
1091,Male,10-19,40-49,Health,Mass Customer,No,12-15,VIC,7,4183.81
1092,Female,50-59,60+,Retail,Mass Customer,No,04-07,VIC,3,1245.27
1093,Female,60-69,18-29,,Affluent Customer,No,04-07,NSW,10,7159.69
1094,Male,40-49,40-49,Health,High Net Worth,No,16-19,QLD,7,3632.3
1095,Female,0-9,60+,Health,Mass Customer,No,04-07,NSW,9,4498.34
1096,Male,30-39,50-59,Health,High Net Worth,No,12-15,NSW,9,2086.85
1097,Female,70-79,50-59,Financial Services,Mass Customer,Yes,16-19,NSW,8,666.79
1098,Female,90-99,30-39,Financial Services,Mass Customer,Yes,12-15,NSW,9,3879.14
1099,Male,10-19,40-49,Manufacturing,Affluent Customer,Yes,08-11,NSW,8,183.2
1100,Male,50-59,30-39,Manufacturing,Mass Customer,No,12-15,QLD,3,1051.23
1101,Female,70-79,50-59,,Mass Customer,No,12-15,NSW,11,4267.42
1102,Female,10-19,40-49,Manufacturing,Affluent Customer,No,12-15,NSW,3,5025.44
1103,Female,70-79,40-49,Financial Services,High Net Worth,Yes,20-22,NSW,10,7367.88
1104,Female,80-89,60+,Retail,Mass Customer,No,08-11,NSW,6,2568.97
1105,Male,30-39,30-39,,Mass Customer,No,16-19,NSW,4,2712.57
1106,Female,0-9,50-59,Retail,Mass Customer,No,12-15,VIC,11,5691.61
1107,Female,70-79,40-49,Health,High Net Worth,No,16-19,NSW,9,1972.03
1108,Female,80-89,50-59,Health,Mass Customer,No,16-19,NSW,5,1338.61
1109,Male,20-29,30-39,Entertainment,High Net Worth,No,04-07,VIC,9,683.2
1110,Male,70-79,18-29,Retail,High Net Worth,No,12-15,VIC,7,4574.1
1111,Male,90-99,60+,,High Net Worth,Yes,16-19,VIC,6,2561.15
1112,Male,20-29,30-39,,Mass Customer,Yes,12-15,NSW,11,1217.23
1113,Male,40-49,18-29,Property,Mass Customer,No,04-07,NSW,12,6072.48
1114,Female,90-99,40-49,Retail,Mass Customer,No,12-15,QLD,7,1774.12
1115,Female,30-39,50-59,,High Net Worth,Yes,16-19,NSW,10,4631.23
1116,Female,50-59,40-49,Health,Mass Customer,Yes,16-19,NSW,9,4053.92
1117,Female,80-89,40-49,,Affluent Customer,No,12-15,NSW,9,2524.53
1118,Female,90-99,40-49,Retail,Mass Customer,Yes,08-11,NSW,8,1858.97
1119,Male,40-49,40-49,Entertainment,Mass Customer,Yes,16-19,NSW,11,4825.85
1120,Female,80-89,40-49,Retail,Affluent Customer,No,12-15,NSW,9,1785.83
1121,Female,30-39,30-39,Health,Mass Customer,Yes,00-03,NSW,11,327.07
1122,Female,50-59,30-39,,Mass Customer,No,08-11,VIC,8,3026.39
1123,Male,50-59,50-59,Property,Mass Customer,No,12-15,NSW,7,4235.8
1124,Male,30-39,50-59,Health,Affluent Customer,Yes,08-11,NSW,11,1462.64
1125,Male,20-29,30-39,IT,Affluent Customer,No,08-11,NSW,9,2839.93
1126,Female,70-79,40-49,,Mass Customer,No,12-15,VIC,11,2135.37
1127,Female,30-39,18-29,Financial Services,Mass Customer,No,08-11,NSW,10,2285.05
1128,Female,40-49,18-29,Financial Services,Mass Customer,Yes,08-11,QLD,4,3388.35
1129,Male,0-9,40-49,Entertainment,Mass Customer,Yes,08-11,QLD,8,6790.69
1130,Female,90-99,50-59,,Mass Customer,No,16-19,NSW,12,3784.98
1131,Male,10-19,60+,,Mass Customer,No,12-15,QLD,3,4703.33
1132,Female,90-99,30-39,Financial Services,Affluent Customer,Yes,08-11,VIC,7,3640.62
1133,Male,80-89,50-59,Manufacturing,Affluent Customer,No,04-07,QLD,4,5295.09
1134,Male,20-29,18-29,Financial Services,Affluent Customer,No,00-03,NSW,11,1622.98
1135,Female,60-69,40-49,Financial Services,Mass Customer,Yes,08-11,NSW,6,1758.98
1136,Male,70-79,40-49,Property,High Net Worth,No,04-07,NSW,9,3451.83
1137,Male,40-49,40-49,,Mass Customer,No,16-19,VIC,3,3557.79
1138,Female,70-79,18-29,Retail,Mass Customer,Yes,04-07,QLD,6,5174.44
1139,Male,50-59,30-39,Manufacturing,Mass Customer,Yes,16-19,QLD,2,1434.57
1140,Female,30-39,30-39,,Mass Customer,Yes,12-15,NSW,10,6941.04
1141,Female,70-79,30-39,Financial Services,High Net Worth,Yes,04-07,VIC,11,772.1
1142,Male,90-99,18-29,Telecommunications,Mass Customer,No,00-03,NSW,9,1841.73
1143,Male,60-69,60+,Health,Mass Customer,Yes,04-07,NSW,5,3277.77
1144,Male,70-79,18-29,Health,High Net Worth,Yes,04-07,NSW,9,5961.25
1145,Female,80-89,50-59,Property,Mass Customer,Yes,12-15,VIC,10,1172.58
1146,Male,80-89,18-29,Financial Services,High Net Worth,No,08-11,VIC,4,1294.4
1147,Male,70-79,50-59,Entertainment,High Net Worth,Yes,08-11,NSW,9,4173.67
1148,Male,60-69,30-39,Financial Services,High Net Worth,No,04-07,NSW,5,1689.75
1149,Female,20-29,50-59,,Affluent Customer,Yes,12-15,NSW,7,2393.31
1150,Female,60-69,40-49,Financial Services,Mass Customer,Yes,12-15,QLD,4,6308.28
1151,Female,20-29,50-59,Argiculture,High Net Worth,Yes,16-19,NSW,9,3449.31
1152,Male,40-49,18-29,Financial Services,Mass Customer,Yes,00-03,QLD,10,4516.14
1153,Female,50-59,18-29,Health,Mass Customer,Yes,00-03,QLD,4,2501.78
1154,Male,20-29,40-49,Health,Mass Customer,Yes,20-22,NSW,11,958.31
1155,Female,70-79,18-29,Property,Mass Customer,Yes,08-11,NSW,1,2332.45
1156,Female,20-29,18-29,Argiculture,Mass Customer,Yes,00-03,QLD,3,2559.66
1157,Male,60-69,40-49,Health,Affluent Customer,Yes,16-19,NSW,12,5037.46
1158,Male,80-89,30-39,,Mass Customer,Yes,16-19,VIC,4,4437.32
1159,Male,90-99,18-29,Entertainment,Mass Customer,No,00-03,VIC,8,2352.28
1160,Female,90-99,50-59,IT,Affluent Customer,No,08-11,NSW,7,684.52
1161,Female,80-89,40-49,Retail,Mass Customer,No,12-15,QLD,7,2669.74
1162,Male,20-29,30-39,,Mass Customer,Yes,04-07,VIC,10,1675.31
1163,Male,70-79,30-39,Financial Services,High Net Worth,Yes,08-11,VIC,9,1775.01
1164,Female,90-99,40-49,Health,Mass Customer,Yes,16-19,VIC,9,346.89
1165,Female,50-59,18-29,Financial Services,High Net Worth,No,00-03,NSW,1,3286.35
1166,Female,40-49,40-49,Health,Affluent Customer,No,08-11,NSW,8,2539.71
1167,Female,20-29,18-29,Health,Mass Customer,No,04-07,QLD,6,2641.93
1168,Male,40-49,50-59,Health,Affluent Customer,No,16-19,VIC,8,6128.86
1169,Female,30-39,50-59,Financial Services,Mass Customer,Yes,12-15,NSW,10,4318.2
1170,Female,60-69,50-59,IT,Mass Customer,Yes,04-07,QLD,9,3351.7
1171,Female,30-39,40-49,,Affluent Customer,Yes,08-11,QLD,8,2287.13
1172,Male,40-49,40-49,,Mass Customer,Yes,16-19,NSW,9,3329.47
1173,Female,50-59,40-49,Retail,High Net Worth,No,16-19,NSW,7,348.62
1175,Male,0-9,30-39,,Mass Customer,No,08-11,NSW,9,1153.84
1176,Female,0-9,40-49,,Affluent Customer,Yes,04-07,NSW,9,842.15
1177,Female,40-49,60+,Health,Affluent Customer,Yes,04-07,NSW,8,2447.05
1178,Male,0-9,50-59,Health,Mass Customer,No,12-15,NSW,9,5167.23
1179,Male,50-59,30-39,Financial Services,High Net Worth,Yes,12-15,QLD,8,5068.44
1180,Female,40-49,40-49,Financial Services,Affluent Customer,No,08-11,NSW,8,2305.11
1181,Female,0-9,40-49,Argiculture,Mass Customer,No,08-11,QLD,8,4513.06
1182,Female,80-89,40-49,IT,Mass Customer,Yes,04-07,NSW,3,4046.13
1183,Male,50-59,60+,,Affluent Customer,No,04-07,VIC,6,4140.91
1184,Female,80-89,50-59,Health,Mass Customer,No,12-15,NSW,9,4314.89
1185,Female,10-19,18-29,,Mass Customer,Yes,00-03,NSW,10,773.81
1186,Male,70-79,40-49,Manufacturing,Affluent Customer,Yes,20-22,NSW,10,1369.65
1187,Male,60-69,18-29,Financial Services,Mass Customer,No,00-03,VIC,1,1130.52
1188,Female,10-19,30-39,,Affluent Customer,Yes,04-07,NSW,11,2299.82
1189,Male,20-29,30-39,Health,High Net Worth,Yes,08-11,VIC,9,1472.66
1190,Female,60-69,50-59,Financial Services,Affluent Customer,Yes,08-11,NSW,2,2008.23
1191,Female,20-29,18-29,,Mass Customer,Yes,00-03,NSW,10,1339.27
1192,Female,30-39,50-59,Manufacturing,Mass Customer,No,16-19,NSW,9,1397.38
1193,Male,50-59,30-39,Retail,High Net Worth,No,04-07,NSW,5,962.22
1194,Female,60-69,18-29,Telecommunications,Affluent Customer,No,00-03,QLD,4,4148.57
1195,Female,0-9,40-49,Telecommunications,Mass Customer,No,16-19,VIC,8,3463.81
1196,Female,20-29,18-29,Health,Mass Customer,No,00-03,NSW,10,1455.38
1197,Female,40-49,18-29,Financial Services,High Net Worth,Yes,04-07,NSW,8,1559.13
1198,Female,70-79,40-49,Retail,High Net Worth,No,04-07,NSW,1,2323.92
1199,Male,0-9,60+,Financial Services,Affluent Customer,Yes,04-07,NSW,7,2037.32
1200,Female,30-39,40-49,Entertainment,High Net Worth,No,16-19,QLD,3,2482.98
1201,Female,40-49,60+,Manufacturing,Mass Customer,No,08-11,NSW,9,807.37
1202,Male,90-99,18-29,Retail,Mass Customer,Yes,08-11,NSW,10,592.29
1203,Female,30-39,30-39,Health,Affluent Customer,No,20-22,QLD,6,830.24
1204,Female,10-19,40-49,Manufacturing,Affluent Customer,Yes,16-19,NSW,10,183.16
1205,Male,30-39,40-49,Manufacturing,Affluent Customer,No,12-15,NSW,10,4598.22
1206,Female,10-19,40-49,Financial Services,Mass Customer,No,12-15,VIC,5,889.72
1207,Female,30-39,18-29,Health,Mass Customer,No,00-03,NSW,4,1126.07
1208,Female,20-29,30-39,Financial Services,Mass Customer,No,12-15,NSW,10,3238.37
1209,Male,40-49,40-49,Property,High Net Worth,Yes,08-11,VIC,9,1809.69
1211,Male,40-49,40-49,Financial Services,Affluent Customer,Yes,12-15,NSW,8,1495.94
1212,Female,20-29,50-59,Property,Affluent Customer,No,12-15,NSW,9,2331.63
1213,Male,80-89,40-49,,High Net Worth,No,12-15,VIC,10,5490.29
1214,Male,0-9,30-39,Property,High Net Worth,No,12-15,NSW,11,2059.9
1215,Female,70-79,50-59,Manufacturing,Mass Customer,No,08-11,NSW,10,3118.98
1216,Female,10-19,60+,Telecommunications,Affluent Customer,Yes,08-11,VIC,7,549.45
1217,Female,60-69,50-59,Manufacturing,High Net Worth,No,16-19,NSW,4,3270.61
1218,Female,10-19,30-39,,Mass Customer,Yes,04-07,VIC,7,4540.57
1219,Male,90-99,40-49,Financial Services,Mass Customer,No,12-15,VIC,4,2015.72
1220,Male,10-19,30-39,,High Net Worth,No,12-15,VIC,7,2476.27
1221,Male,70-79,18-29,Health,High Net Worth,Yes,12-15,NSW,9,1500.49
1222,Female,80-89,50-59,Property,Mass Customer,No,16-19,VIC,9,667.99
1223,Female,10-19,50-59,Manufacturing,Mass Customer,Yes,16-19,NSW,7,2235.3
1224,Female,0-9,40-49,Manufacturing,Mass Customer,No,16-19,NSW,6,4250.74
1225,Male,0-9,30-39,Health,Mass Customer,Yes,08-11,VIC,10,2078.59
1226,Female,30-39,30-39,Health,Mass Customer,Yes,12-15,VIC,7,937.44
1227,Female,60-69,30-39,IT,Affluent Customer,Yes,12-15,NSW,7,4101.86
1228,Female,40-49,50-59,Financial Services,Affluent Customer,No,04-07,NSW,4,922.34
1229,Male,30-39,18-29,Manufacturing,Affluent Customer,Yes,00-03,NSW,11,3005.63
1230,Male,60-69,30-39,Financial Services,Mass Customer,Yes,08-11,NSW,9,617.98
1231,Female,90-99,40-49,Health,Affluent Customer,No,16-19,NSW,10,1718.61
1232,Male,80-89,60+,Property,Affluent Customer,No,20-22,QLD,8,5011.9
1233,Female,10-19,40-49,Retail,Affluent Customer,Yes,16-19,NSW,11,6634.14
1234,Male,80-89,50-59,,Mass Customer,No,16-19,NSW,9,2231.46
1235,Female,20-29,50-59,Health,Mass Customer,No,08-11,NSW,2,3332.8
1236,Male,70-79,40-49,Financial Services,High Net Worth,Yes,16-19,VIC,7,1799.19
1237,Female,0-9,50-59,Health,High Net Worth,No,16-19,VIC,4,6961.52
1238,Male,20-29,40-49,,Affluent Customer,Yes,04-07,VIC,5,1110.02
1239,Male,0-9,40-49,,Mass Customer,Yes,16-19,QLD,7,1795.3
1240,Female,60-69,50-59,Manufacturing,Mass Customer,Yes,16-19,NSW,8,3015.05
1241,Female,20-29,30-39,Health,Affluent Customer,Yes,08-11,NSW,9,1844.56
1242,Male,30-39,40-49,Property,High Net Worth,Yes,16-19,VIC,7,1100.82
1243,Male,70-79,60+,Retail,Mass Customer,No,08-11,NSW,11,4544.16
1245,Male,30-39,18-29,Manufacturing,Affluent Customer,No,00-03,NSW,10,2596.23
1246,Male,90-99,18-29,,High Net Worth,No,04-07,QLD,2,1769.48
1247,Female,10-19,60+,Entertainment,Affluent Customer,No,08-11,QLD,1,1256.75
1248,Female,30-39,50-59,,Affluent Customer,Yes,04-07,QLD,2,182.81
1249,Male,10-19,50-59,Telecommunications,Mass Customer,No,16-19,QLD,2,2990.45
1250,Female,40-49,18-29,Manufacturing,Mass Customer,No,00-03,QLD,7,4501.07
1251,Male,60-69,18-29,Property,Mass Customer,No,00-03,QLD,6,1481.07
1252,Male,40-49,50-59,Manufacturing,Mass Customer,Yes,12-15,QLD,4,4548.31
1253,Female,80-89,18-29,Manufacturing,Mass Customer,No,04-07,QLD,2,1948.45
1254,Male,60-69,60+,Retail,Mass Customer,Yes,04-07,QLD,1,3436.5
1255,Male,0-9,30-39,Health,Affluent Customer,No,08-11,NSW,9,287.31
1256,Male,0-9,30-39,Health,High Net Worth,No,08-11,QLD,6,2068.61
1257,Male,40-49,40-49,Property,Affluent Customer,Yes,08-11,QLD,2,1791.15
1258,Male,80-89,40-49,Manufacturing,Mass Customer,No,04-07,QLD,1,5441.22
1259,Female,20-29,40-49,Financial Services,Mass Customer,No,08-11,QLD,1,3342.13
1260,Male,90-99,30-39,Property,Mass Customer,No,08-11,QLD,2,2195.24
1261,Female,60-69,40-49,Manufacturing,Mass Customer,No,04-07,QLD,2,1584.5
1262,Female,90-99,50-59,,High Net Worth,Yes,16-19,QLD,3,1355.38
1263,Male,40-49,40-49,Manufacturing,Affluent Customer,No,08-11,QLD,1,2951.02
1264,Male,40-49,18-29,Health,Mass Customer,Yes,04-07,QLD,2,2699.71
1265,Male,70-79,30-39,Property,Mass Customer,Yes,00-03,QLD,3,1195.61
1266,Male,60-69,40-49,Health,Mass Customer,Yes,08-11,QLD,1,3405.1
1267,Male,30-39,40-49,Entertainment,Affluent Customer,Yes,16-19,QLD,3,965.3
1268,Male,20-29,30-39,Financial Services,High Net Worth,Yes,00-03,QLD,9,1318.26
1269,Male,50-59,30-39,Property,High Net Worth,Yes,04-07,QLD,6,935.06
1270,Male,70-79,30-39,Financial Services,Affluent Customer,No,08-11,QLD,6,2113.08
1271,Female,70-79,18-29,Telecommunications,Mass Customer,Yes,04-07,QLD,4,950.12
1272,Female,0-9,30-39,Manufacturing,Affluent Customer,No,16-19,QLD,5,5029.13
1273,Male,40-49,40-49,Financial Services,Affluent Customer,Yes,12-15,QLD,2,1551.75
1274,Male,10-19,40-49,Manufacturing,Mass Customer,No,20-22,QLD,7,3573.5
1275,Female,70-79,50-59,Health,Mass Customer,Yes,08-11,QLD,2,1540.08
1276,Male,20-29,50-59,Health,Affluent Customer,No,04-07,QLD,8,969.91
1277,Male,20-29,40-49,,Mass Customer,Yes,08-11,QLD,1,1197.91
1278,Female,10-19,18-29,Health,Affluent Customer,No,00-03,QLD,4,721.51
1279,Male,30-39,50-59,Financial Services,Mass Customer,No,20-22,QLD,3,2422.29
1280,Male,70-79,40-49,Manufacturing,High Net Worth,Yes,12-15,QLD,7,2799.42
1281,Male,20-29,50-59,Manufacturing,Affluent Customer,Yes,16-19,QLD,8,1186.61
1282,Male,90-99,40-49,Entertainment,Affluent Customer,Yes,12-15,QLD,5,4242.01
1283,Female,40-49,18-29,Health,Mass Customer,No,00-03,QLD,7,1012.1
1284,Male,30-39,40-49,Entertainment,Affluent Customer,No,08-11,QLD,8,106.5
1285,Male,40-49,40-49,Manufacturing,Mass Customer,Yes,12-15,QLD,6,6456.51
1286,Female,80-89,40-49,Manufacturing,High Net Worth,Yes,16-19,QLD,8,2415.24
1287,Male,70-79,60+,Financial Services,Mass Customer,Yes,20-22,QLD,4,5456.97
1288,Female,50-59,40-49,Financial Services,Affluent Customer,Yes,16-19,QLD,7,3227.13
1289,Male,30-39,40-49,,Mass Customer,Yes,08-11,QLD,1,3940.48
1290,Male,40-49,50-59,Financial Services,High Net Worth,Yes,04-07,QLD,5,7616.04
1291,Male,0-9,40-49,Health,Mass Customer,No,12-15,QLD,2,5147.26
1292,Female,50-59,50-59,,Affluent Customer,No,20-22,QLD,3,2328.26
1293,Male,80-89,40-49,IT,Mass Customer,No,08-11,QLD,6,3457.29
1294,Female,30-39,40-49,Manufacturing,Mass Customer,Yes,12-15,QLD,7,917.32
1295,Male,60-69,18-29,Argiculture,Mass Customer,Yes,04-07,QLD,7,1882.9
1296,Female,60-69,30-39,Financial Services,Affluent Customer,Yes,08-11,QLD,6,2793.27
1297,Male,90-99,30-39,Health,Mass Customer,No,00-03,QLD,7,2424.53
1298,Male,30-39,40-49,Health,Mass Customer,No,16-19,QLD,5,4113.36
1299,Female,70-79,40-49,,Affluent Customer,No,12-15,QLD,8,5957.78
1300,Female,0-9,18-29,Financial Services,Affluent Customer,Yes,08-11,QLD,9,6148.62
1301,Female,10-19,18-29,Health,Mass Customer,No,08-11,QLD,7,2178.71
1302,Female,20-29,18-29,Financial Services,Affluent Customer,Yes,00-03,QLD,7,5336.73
1303,Male,60-69,40-49,Argiculture,Mass Customer,No,12-15,QLD,1,2760.18
1304,Male,20-29,40-49,,High Net Worth,No,08-11,QLD,7,2321.06
1305,Male,90-99,50-59,Financial Services,High Net Worth,Yes,04-07,QLD,4,2825.0
1306,Male,10-19,60+,Health,Affluent Customer,Yes,12-15,QLD,7,5486.1
1307,Female,70-79,50-59,Health,High Net Worth,Yes,08-11,QLD,6,4526.73
1308,Male,30-39,40-49,,Affluent Customer,Yes,16-19,QLD,7,4757.96
1309,Male,90-99,40-49,,Mass Customer,No,12-15,QLD,8,1400.32
1310,Male,30-39,30-39,Manufacturing,High Net Worth,Yes,12-15,QLD,9,2289.27
1311,Female,80-89,30-39,Financial Services,Mass Customer,Yes,12-15,QLD,7,3572.06
1312,Female,90-99,18-29,Health,Affluent Customer,No,08-11,QLD,8,1292.6
1313,Male,50-59,30-39,Property,Mass Customer,No,20-22,QLD,4,4753.51
1314,Female,20-29,50-59,Health,Mass Customer,Yes,04-07,NSW,8,2894.17
1315,Female,40-49,40-49,IT,Mass Customer,Yes,12-15,VIC,10,2216.97
1316,Male,70-79,30-39,Retail,High Net Worth,Yes,16-19,QLD,7,2152.88
1317,Male,0-9,40-49,Retail,Mass Customer,Yes,04-07,QLD,2,7024.71
1318,Female,10-19,50-59,Financial Services,Mass Customer,Yes,04-07,QLD,6,3500.74
1319,Male,20-29,60+,Entertainment,Mass Customer,Yes,12-15,QLD,2,1579.83
1320,Female,0-9,30-39,Manufacturing,High Net Worth,Yes,04-07,QLD,3,1835.18
1321,Female,20-29,18-29,Argiculture,Affluent Customer,No,08-11,QLD,6,2398.25
1322,Female,30-39,18-29,Financial Services,Mass Customer,Yes,00-03,QLD,8,2729.44
1323,Male,20-29,30-39,,High Net Worth,Yes,08-11,QLD,7,1695.38
1324,Female,80-89,40-49,Manufacturing,Mass Customer,No,08-11,QLD,5,2011.93
1325,Male,60-69,50-59,Argiculture,High Net Worth,Yes,12-15,QLD,4,104.24
1326,Male,10-19,50-59,Health,Affluent Customer,Yes,04-07,VIC,8,3581.0
1327,Female,50-59,18-29,Property,Affluent Customer,No,04-07,VIC,8,1256.31
1328,Male,10-19,30-39,IT,Mass Customer,Yes,04-07,VIC,8,5351.58
1329,Female,60-69,30-39,,Mass Customer,No,08-11,VIC,7,4409.75
1330,Male,20-29,30-39,,Affluent Customer,No,16-19,VIC,6,5101.12
1331,Male,10-19,30-39,Telecommunications,High Net Worth,No,16-19,VIC,7,6252.43
1332,Male,80-89,40-49,,Mass Customer,Yes,12-15,VIC,10,5075.61
1333,Male,0-9,40-49,Financial Services,High Net Worth,No,08-11,VIC,2,331.99
1334,Female,70-79,18-29,Financial Services,Mass Customer,No,04-07,VIC,2,719.98
1335,Female,50-59,18-29,Entertainment,Mass Customer,Yes,00-03,VIC,5,3332.65
1336,Male,80-89,30-39,,Mass Customer,Yes,12-15,VIC,6,3595.91
1337,Female,10-19,30-39,Health,Mass Customer,No,08-11,VIC,8,3417.42
1338,Male,50-59,40-49,,High Net Worth,No,12-15,VIC,9,234.36
1339,Female,80-89,40-49,IT,High Net Worth,No,12-15,VIC,8,4713.22
1340,Male,10-19,40-49,,High Net Worth,No,16-19,VIC,7,2120.42
1341,Male,60-69,30-39,Financial Services,Affluent Customer,No,12-15,VIC,7,1213.75
1342,Male,10-19,50-59,Retail,Affluent Customer,Yes,08-11,NSW,8,3822.2
1343,Male,60-69,40-49,Health,High Net Worth,No,04-07,VIC,8,1317.16
1344,Female,20-29,18-29,Manufacturing,Mass Customer,No,04-07,VIC,4,628.57
1345,Male,90-99,60+,Manufacturing,Mass Customer,No,12-15,VIC,1,3891.55
1346,Male,0-9,50-59,Telecommunications,Mass Customer,No,16-19,VIC,4,6736.53
1347,Female,10-19,40-49,Manufacturing,Mass Customer,Yes,12-15,VIC,2,3745.36
